block,freeze_acc,importance
0,0.3,-0.14
1,0.4,-0.03999999999999998
2,0.4,-0.03999999999999998
3,0.42,-0.020000000000000018
4,0.36,-0.08000000000000002
5,0.46,0.020000000000000018
6,0.4,-0.03999999999999998
7,0.44,0.0
8,0.48,0.03999999999999998
9,0.48,0.03999999999999998
10,0.42,-0.020000000000000018
11,0.52,0.08000000000000002
12,0.48,0.03999999999999998
13,0.5,0.06
14,0.48,0.03999999999999998
15,0.44,0.0
16,0.5,0.06
17,0.46,0.020000000000000018
18,0.48,0.03999999999999998
19,0.44,0.0
20,0.4,-0.03999999999999998
21,0.38,-0.06
22,0.44,0.0
23,0.4,-0.03999999999999998
24,0.44,0.0
25,0.4,-0.03999999999999998
26,0.5,0.06
27,0.48,0.03999999999999998
28,0.44,0.0
29,0.32,-0.12
30,0.28,-0.15999999999999998
31,0.38,-0.06
